"Source:","/home/hitesh/KICAD/projects/EXP/TOP1/top/top.sch"
"Date:","Wed Apr 24 16:41:53 2019"
"Tool:","Eeschema 5.0.2-bee76a0~70~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","15"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"D1, ","1","LED","LED","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin","Light emitting diode",""
"D2, ","1","D_Photo","D_Photo","LED_SMD:LED_0805_2012Metric","Photodiode",""
"J1, J2, ","2","Conn_01x03","Conn_01x03","Connector_JST:JST_EH_B03B-EH-A_1x03_P2.50mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J6, J7, J8, J9, J3, J5, J4, ","7","Conn_01x02","Conn_01x02","Connector_JST:JST_EH_B02B-EH-A_1x02_P2.50mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"PCB1, ","1","TouchSensor","TouchSensor","","",""
"SW1, SW2, ","2","SW_SPST","SW_SPST","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin","Single Pole Single Throw (SPST) switch",""
"U1, ","1","7400","7400","Package_DIP:DIP-8_W7.62mm_SMDSocket_SmallPads","quad 2-input NAND gate",""
