"Source:","/home/hitesh/KICAD/projects/MOTBOX_TOP/limit_switch/limit_switch_DT045_v1_1.sch"
"Date:","Wed Jun  5 14:58:52 2019"
"Tool:","Eeschema 5.0.2-bee76a0~70~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","3"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"J1, ","1","Conn_01x03","Conn_01x03","Connector_Wire:SolderWirePad_1x03_P3.175mm_Drill0.8mm","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"SW1, ","1","DT045-R","SW_SPST","mylib:DT045R_detector_switch_right","Single Pole Single Throw (SPST) switch",""
"SW2, ","1","DT045-L","SW_SPST","mylib:DT045L_detector_switch_left","Single Pole Single Throw (SPST) switch",""
